Аксессуары;19;8 420;01.01.2021
Дозаторы;;;01.01.2021
Дозатор Kokido Classic K027BU (табл. 75 мм) синий;;;01.01.2021
Дозатор Kokido Classic K823BU квадратный;;;01.01.2021
Дозатор Kokido K619BU/зеленый 2в1 (с термометром);;;01.01.2021
Дозатор Kokido K619BU/оранжевый 2в1 (с термометром);;;01.01.2021
"Дозатор плавающий 12,7см ""Bestway"" синий (таблетка 20гр)";;;01.01.2021
"Дозатор плавающий 12,7см ""Intex"" зеленый (таблетка 20гр)";;;01.01.2021
"Дозатор плавающий 16,5см ""Bestway"" синий (таблетка 200гр)";;;01.01.2021
"Дозатор плавающий 17,8см ""Intex"" зелёный (таблетка 200гр)";;;01.01.2021
Дозатор плавающий для спа 1 табл 20 гр.;;;01.01.2021
Картриджи;;;01.01.2021
"Фильтр-картридж Intex тип ""H""";;;01.01.2021
"Фильтр-картридж Intex тип ""А""";;;01.01.2021
"Фильтр-картридж Intex тип ""А"" двойной";;;01.01.2021
"Фильтр-картридж тип ""А"" поролон синий";;;01.01.2021
Лампы;;;01.01.2021
Плавающая лампа Bestway на солнечной батарее, 18 см;;;01.01.2021
Лестницы;;;01.01.2021
Лестница для бассейна 122 см;;;01.01.2021
Наборы для уборки, запчасти к ним;;;01.01.2021
Запчасти для уборочных наборов;;;01.01.2021
Адаптер для наборов Intex 28002/Bestway 58013 на садовый шланг (Соединитель 40);;;01.01.2021
Набор для уборки INTEX (279/549см);;;01.01.2021
Очки, маски;;;01.01.2021
Маска с трубкой желтая;;;01.01.2021
Очки для плавания WATER PRO 14+;;;01.01.2021
Прочее;;;01.01.2021
Ванночка для ног Intex 29080;;;01.01.2021
Подстаканник для Steel Pro Max (набор из 4 шт 17,5х10х4см), Bestway;;;01.01.2021
Ремкомплекты;;;01.01.2021
Жидкая латка ПВХ 20 мл (болотная);;;01.01.2021
Жидкая латка ПВХ 25 мл (голубая);;;01.01.2021
Жидкая латка ПВХ 25 мл (прозрачная);;;01.01.2021
Заплатка-самоклейка Fast-Tape 10см;;;01.01.2021
"Заплатка-самоклейка водостойкая ""Bestway"" 10шт 6,5*6,5см";;;01.01.2021
Заплатки Kokido K435PE для виниловых бассейнов  ;;;01.01.2021
Набор заплаток для бассейнов 8шт (без клея);;;01.01.2021
Ремонтный комплект Kokido K257CBX 60 мл;;;01.01.2021
Ремонтный комплект Kokido K258BL 30 мл;;;01.01.2021
"Ремонтный набор ""Момент""";;;01.01.2021
Ремонтный набор INTEX (заплатки);;;01.01.2021
Сачки;2;1 300;01.01.2021
"Сачок ""Intex"" для сбора листьев с мешком";;;01.01.2021
Сачок Kokido Classic K044BU с ручкой;;;01.01.2021
Сачок Kokido Classic K065BU/B с мешком;;;01.01.2021
Сачок Kokido Classic K066BU/B поверхностный;;;01.01.2021
Сачок Kokido Classic K963BU/B с мешком;1;650;01.01.2021
Сачок Kokido Classic K964BU/B с поверхностный ;;;01.01.2021
Сачок Kokido Design-O K413BU поверхностный;1;650;01.01.2021
Сачок Kokido Design-O K414BU донный с мешком;;;01.01.2021
"Сачок поверхностный ""Bestway"" синий";;;01.01.2021
"Сачок поверхностный ""Intex"" зеленый";;;01.01.2021
Скиммеры, запчасти к ним;;;01.01.2021
Запасные части для скиммера;;;01.01.2021
Адаптер скимера 40 мм;;;01.01.2021
Гофрированный шланг для скиммера ;;;01.01.2021
Корзина для скиммера;;;01.01.2021
Крепление для скиммера ;;;01.01.2021
Крышка-адаптер для подключения пылесосного шланга к скиммеру;;;01.01.2021
"Скиммер навеcной ""Intex""";;;01.01.2021
"Скиммер навесной ""Bestway""";;;01.01.2021
Тенты, подстилки;;;01.01.2021
Подстилка под бассейн 274*274см Bestway 58000;;;01.01.2021
Подстилка под бассейн 335*335см Bestway 58001;;;01.01.2021
Подстилка под бассейн 396*396см Bestway 58002;;;01.01.2021
Подстилка под бассейн 488*488см Bestway 58003;;;01.01.2021
Подстилка-ПАЗЛ полиуритановая;;;01.01.2021
"Тент для каркасного бассейна 3,05 м ""Intex"" ";;;01.01.2021
"Тент для каркасного бассейна 3,66 м ""Intex""";;;01.01.2021
Тент для каркасных бассейнов SteelPro 305см, Bestway 58036;;;01.01.2021
Тент солнечный для бассейна 3,05 м;;;01.01.2021
